"","Name","Team","Height"
"339","Ebbe Gustav Bertil Albertsson (-Andersson)","Sweden",177
"340","Abramo Albini","Italy",180
"341","Islam-Beka Said-Tsilimovich Albiyev","Russia",165
"342","Sylvia Albrecht (-Heckendorf)","East Germany",165
"343","Brigitte Albrecht-Loretan","Switzerland",175
"344","John Robert Albrechtson","Sweden",181
"345","David Donald ""Dave"" Albritton","United States",191
"346","Anatoly Mikhaylovich Albul","Soviet Union",181
"347","Aldair Nascimento dos Santos","Brazil",183
"348","Andrs Aldama Cabrera","Cuba",183
"349","Andrs Aldama Cabrera","Cuba",183
"350","Frederick Pitt ""Fred"" Alderman","United States",177
"351","Joan ""Jody"" Alderson (-Braskamp)","United States",170
"352","David Alegre Biosca","Spain",184
"353","Ramn Alegre Biosca","Spain",171
"354","Jo Qesem Ayela Aleh","New Zealand",171
"355","Jo Qesem Ayela Aleh","New Zealand",171
"356","Virgilijus Alekna","Lithuania",200
"357","Virgilijus Alekna","Lithuania",200
"358","Virgilijus Alekna","Lithuania",200
"359","Boris Viktorovich Aleksandrov","Soviet Union",168
"360","Rumen Aleksandrov","Bulgaria",176
"361","Veniamin Veniaminovich Aleksandrov","Soviet Union",180
"362","Veniamin Veniaminovich Aleksandrov","Soviet Union",180
"363","Veniamin Veniaminovich Aleksandrov","Soviet Union",180
"364","Vladimir Petrovich Aleksandrov","Soviet Union-2",178
"365","Larisa Aleksandrova-Popova","Soviet Union",180
"366","Larisa Aleksandrova-Popova","Soviet Union",180
"367","Artur Aleksanyan","Armenia",190
"368","Artur Aleksanyan","Armenia",190
"369","Vasily Ivanovich Alekseyev","Soviet Union",185
"370","Vasily Ivanovich Alekseyev","Soviet Union",185
"371","Galina Aleksandrovna Alekseyeva","Soviet Union",157
"372","Milan Aleksi","Serbia",193
"373","Milan Aleksi","Serbia",193
"374","Alessandra dos Santos de Oliveira","Brazil",200
"375","Alessandra dos Santos de Oliveira","Brazil",200
"376","Alex Sandro Lobo Silva","Brazil",177
"377","Lisa Alexander","Canada",172
